usdot_num,user_created,date_created,user_updated,date_updated,company_name,company_url,city,state,total_complaints_2021,total_complaints_2022,total_complaints_2023,location,company_type
3637302,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.870Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.141Z,BLACKSMITH EXPRESS LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30167910&id2=32038464&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",0
3646573,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.204Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.500Z,PAMELA ROBERTS,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30177553&id2=32045595&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",0
3651622,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.038Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.319Z,H&H LOGISTICS,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30174201&id2=32040528&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
3658538,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.366Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.696Z,YOUR MOVING BUTLERS,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30152533&id2=32017756&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",3
3659356,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.813Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.087Z,AMACOOP ENTERPRISE LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30151942&id2=32016426&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
3661270,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.780Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.031Z,A. BRADLEY ENTERPRISES LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30162533&id2=32015264&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",2
3666330,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:40:14.171Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:53:07.331Z,WOMACK TRANSPORTER LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30146888&id2=32026604&f=search%3D5%26ads%3Da%26state%3DWA%26Submit%3DSearch,SEATTLE,WA,0,0,0,"SEATTLE, WA",1
3670867,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.353Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.680Z,VIRNIX SOLUTIONS LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30159486&id2=31939877&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",0
3671770,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.155Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.436Z,MBAMBI TRUCKING,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30159045&id2=31938732&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
3673838,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.168Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.255Z,AMADA PROFESSIONAL CLEANING SERVICES INC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30156998&id2=31936664&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",0
3678617,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.500Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.590Z,MAINLAND VAN LINES LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30202978&id2=31948783&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",0
3687097,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.099Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.371Z,KBT TRANSPORTATION AND LOGISITICS,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30196915&id2=31923407&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
3698115,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:40:14.149Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:53:07.285Z,SOMA TRANS LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30205002&id2=31929269&f=search%3D5%26ads%3Da%26state%3DWA%26Submit%3DSearch,SEATTLE,WA,0,3,1,"SEATTLE, WA",1
3701764,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.743Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:10.994Z,SHIELDS OPERATIONS GROUP LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30186200&id2=31924850&f=search%3D5%26ads%3Da%26state%3DGA%26Submit%3DSearch,DALLAS,GA,0,0,0,"DALLAS, GA",1
3702511,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.857Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.129Z,BH LOGISTICS,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30185642&id2=31924377&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",61
3703065,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.729Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:10.982Z,BLUE BOLT XPRESS LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=31429952&id2=31973231&f=search%3D5%26ads%3Da%26state%3DGA%26Submit%3DSearch,DALLAS,GA,0,0,0,"DALLAS, GA",2
3703403,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.078Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.359Z,JALESIA TRANSPORT LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30185227&id2=31972381&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
3704078,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.237Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.320Z,CAROLINA CARGO LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30184734&id2=31972216&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",0
3704725,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.289Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.606Z,TAE WRIGHT LOGISTICS LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30184247&id2=31971811&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
3708428,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.137Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.411Z,LOLLY HAULING LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30180964&id2=31967354&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
3712697,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:40:14.079Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:53:07.224Z,JJ MOVING AND STORAGE LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30194212&id2=31979727&f=search%3D5%26ads%3Da%26state%3DWA%26Submit%3DSearch,SEATTLE,WA,1,10,3,"SEATTLE, WA",1
3715630,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.148Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.428Z,MANIFEST TRUCKING & LOGISTICS,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30192317&id2=31976536&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",4
3715805,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.882Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.154Z,BP AUCTIONS,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30192433&id2=31976619&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",2
3720322,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:40:14.174Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:53:07.343Z,Z-HAUL|ZAZEL WU,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30188652&id2=31955700&f=search%3D5%26ads%3Da%26state%3DWA%26Submit%3DSearch,SEATTLE,WA,0,0,0,"SEATTLE, WA",2
3722737,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.045Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.327Z,HOME DELIVERY OF DALLAS LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30045875&id2=31953799&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",4
3722904,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.254Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.335Z,CCBS MOTORS LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30105589&id2=31953134&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",1
3734350,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.252Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.563Z,RIGHT WAY MOVING & STORAGE LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30112876&id2=31958328&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,1,0,"DALLAS, TX",1
3734982,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.300Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.390Z,DREAM BIGG TRANSPORTATION SERVICES,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30112373&id2=31957936&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",1
3747852,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.265Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.578Z,ROYAL TOUCH MOVING,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30086679&id2=31878778&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",0
3751734,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.285Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.602Z,SRT TRANSIT,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30084588&id2=31875392&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",2
3753099,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.913Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.188Z,COMMUNITY MOVING AND STORAGE INC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30083352&id2=31857405&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
3753141,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.319Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.406Z,ECO-TECH TRANSPORTATION LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30083569&id2=31857347&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",3
3753346,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.192Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.278Z,BADASS MOTORCYCLE LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30082652&id2=31857652&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",1
3754953,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.406Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.493Z,GRULLO TRANSPORTATION LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30081729&id2=31856063&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",0
3756307,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.661Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.952Z,WILLY STADELE,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30097112&id2=31854437&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",1
3760327,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.999Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.274Z,FLEXFREIGHT,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30093896&id2=31866545&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",20
