usdot_num,id,user_created,date_created,user_updated,date_updated,complaint_category,complaint_year,complaint_count
3712697,658b3f09-461f-4128-8680-b7c1b5fe006d,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:26.446Z,,,Pickup and Delivery,2022,6
3006268,663a29b5-cb0c-4959-9d28-f482656711e5,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:13.945Z,,,Estimates/Final Charges,2023,2
2258113,6681184a-cc1d-421e-bf42-806c83292819,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:52.964Z,,,Weighing,2022,1
2247863,66d0b0ca-e889-472b-820c-a3203e824bd8,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.330Z,,,Hostage,2023,2
3013492,66d8f05f-a0a1-42a6-9a9b-ab2889706137,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.408Z,,,Hostage,2022,1
2030210,6768ab43-43fd-47ac-b9ba-7f76bdccaaa4,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:26.741Z,,,Estimates/Final Charges,2021,1
3500694,67d71592-4def-403a-8e02-6d98a754e666,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:52.986Z,,,Pickup and Delivery,2021,1
2030210,6843746f-4fb4-4fef-a33c-f1e432d3d922,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:26.738Z,,,Shipment Documents,2021,2
3940800,68504305-3f28-4a2f-b9dc-4c9e2d8f0b0c,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:26.785Z,,,Estimates/Final Charges,2023,4
2821065,6914196d-fcdb-4727-a275-f69c384583dc,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.000Z,,,Loss and Damage,2022,4
